"Reference","Value","Vendor","price","Qty"
"BT2","Battery_Cell","","","1"
"C3, C4","4.7uF","JLCPCB","","2"
"C5","4.7 uF","JLCPCB","","1"
"C6","1uF","JLCPCB","","1"
"C7","22uF","JLCPCB","","1"
"C8","10uF","JLCPCB","","1"
"C9","C(adj)","JLCPCB","","1"
"C10","1OO uF","JLCPCB","","1"
"D1","DIODE","JLCPCB","","1"
"J2","USB_B_Micro","JLCPCB","","1"
"L1","2.2uH","JLCPCB","","1"
"Q1","Q_PMOS_DGS","JLCPCB","","1"
"R1","17k","JLCPCB","","1"
"R2, R3","10K","JLCPCB","","2"
"R4","2M","JLCPCB","","1"
"R5","180k","JLCPCB","","1"
"R6","10k","JLCPCB","","1"
"U2","MCP73831-2-OT","JLCPCB","","1"
"U3","TPS61200DRC","JLCPCB","","1"
"U4","LM117_TO3","JLCPCB","","1"
