"Reference,""Value"",""Footprint"",""Description"",""Part Number"",""Price"",""Qty"""
"C1-C2,""10u"",""Capacitor_SMD:C_0402_1005Metric"","""",""C15525"",""$0.0056"",""2"""
"C3,""4.7uF"",""Capacitor_SMD:C_0201_0603Metric"","""",""C335103"",""$0.0822"",""1"""
"C4,""10uF"",""Capacitor_SMD:C_0402_1005Metric"","""",""C15525"",""$0.0056"",""1"""
"C5,""100n"",""A_New_folder:C1206"","""",""C1525"",""$0.0011 "",""1"""
"C6,""0.1uF"",""A_New_folder:C1206"","""",""C1525"",""$0.0011 "",""1"""
"C7,""100nF"",""A_New_folder:C1206"","""",""C1525"",""$0.0011 "",""1"""
"C8,""10nF"",""A_New_folder:C1206"","""",""C1846"",""$0.0131 "",""1"""
"D1,""LED"",""LED_THT:LED_D3.0mm"","""",""C5172925"",""$0.0264 "",""1"""
"IC1,""DW01A-G"",""A_New_folder:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR"",""One Cell Lithium-ion/Polymer Battery Protection IC"",""C615052"",""$0.0264 "",""1"""
"IC2,""LM75AD,118"",""A_New_folder:SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL"",""Board Mount Temperature Sensors I2C LOCAL +/- 2OC TS"",""C7963"",""$0.51"",""1"""
"J6,""USB_B_Micro"",""A_New_folder:MICRO-USB-SMD_MICROXNJ"","""",""C404969"",""$0.0333"",""1"""
"Q1,""FS8205A"",""A_New_folder:TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL-2"",""Dual N-Channel Enahncement Mode Power MOSFET"",""C16052"",""$0.2044 "",""1"""
"R1 R6-R9,""10k"",""Resistor_SMD:R_1206_3216Metric"","""",""C416174"",""$0.0051 "",""5"""
"R2 R4,""1K"",""A_New_folder:R0402"","""",""C11702"",""$0.0005 "",""2"""
"R3,""10K"",""Resistor_SMD:R_1206_3216Metric"","""",""C416174"",""$0.0051"",""1"""
"R5,""100"",""A_New_folder:R0603"","""",""C881893"",""$0.0286 "",""1"""
"R10,""LDR07"",""OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical"","""",""C11299"",""$0.0515"",""1"""
"U1,""HT75xx-1-SOT89"",""Package_TO_SOT_SMD:SOT-89-3"","""",""C14289"",""$0.1315 "",""1"""
"U2,""MCP73831-2-OT"",""Package_TO_SOT_SMD:SOT-23-5"","""",""C14879"",""$1.3086"",""1"""
"U3,""CH340C"",""A_New_folder:SOP-16_L10.0-W3.9-P1.27-LS6.0-BL"","""",""C84681"",""$0.4655 "",""1"""
"U4,""M24C16-RMN6TP"",""A_New_folder:SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL"","""",""C79946"",""$0.0817 "",""1"""
