Designators,Mid X,Mid Y,Rotation,Layer
C1,180.175386,-80.609187,-90,top
C2,180.175386,-88.589187,-90,top
C3,144.907,-70.322,-90,top
C4,140.335,-70.231,180,top
C5,162.433,-74.422,90,top
C6,168.529,-92.133417,-90,top
C7,128.524,-92.329,-90,top
C8,187.222583,-115.19,180,top
IC1,158.212937,-80.059149,180,top
IC2,163.312886,-97.109187,-90,top
J6,104.220837,-78.613,-90,top
Q1,159.882937,-67.729149,-90,top
R1,126.312886,-123.571687,-90,top
R2,126.980092,-66.326761,-90,top
R3,130.982886,-67.816687,-90,top
R4,150.982886,-66.779187,90,top
R5,162.433,-80.137,90,top
R6,140.312886,-88.109187,-90,top
R7,148.312886,-88.109187,-90,top
R8,155.312886,-88.109187,-90,top
R9,175.6325,-103.38,0,top
R10,183.912886,-97.109187,0,top
R12,184.852817,-86.97,0,top
R13,116.922817,-72.86,0,top
U1,185.175386,-83.109187,0,top
U2,142.120386,-67.729187,0,top
U3,121.640394,-95.134181,-90,top
U4,186.02,-119.51,-90,top
