Ref,Val,Package,PosX,PosY,Rot,Side
"BATTERY_CHARGER","MCP73831-2-OT","SOT-23-5",142.120386,-67.729187,0.000000,top
"BT1","Battery_Cell","18650_Holder_SMD",151.912886,-50.634187,0.000000,top
"C1","10u","C_0402_1005Metric",180.175386,-80.609187,-90.000000,top
"C2","10u","C_0402_1005Metric",180.175386,-88.589187,-90.000000,top
"C3","4.7uF","C_0201_0603Metric",144.907000,-70.322000,-90.000000,top
"C4","10uF","C_0402_1005Metric",140.335000,-70.231000,180.000000,top
"C5","100n","C1206",162.433000,-74.422000,90.000000,top
"C6","0.1uF","C1206",168.529000,-92.133417,-90.000000,top
"C7","100nF","C1206",128.524000,-92.329000,-90.000000,top
"CH340C UART","CH340C","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL",121.640394,-95.134181,-90.000000,top
"D1","LED","LED_D3.0mm",135.572886,-76.909187,0.000000,top
"D3","LED","LED_D3.0mm",186.895000,-90.050000,180.000000,top
"D4","LED","LED_D3.0mm",120.160000,-75.940000,180.000000,top
"DEBUGGER","Conn_01x09_Pin","PinHeader_1x09_P2.54mm_Vertical",195.720000,-81.620000,0.000000,top
"EEPROM","10nF","C1206",187.222583,-115.190000,180.000000,top
"IC2","LM75AD,118","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL",163.312886,-97.109187,-90.000000,top
"J1","Conn_01x24_Socket","PinSocket_1x24_P2.54mm_Vertical",116.080000,-129.010000,90.000000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",173.170000,-99.250000,180.000000,top
"J3","Conn_01x24_Socket","PinSocket_1x24_P2.54mm_Vertical",116.052886,-113.599187,90.000000,top
"J4","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",186.812886,-68.569187,0.000000,top
"J5","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",179.812886,-68.569187,0.000000,top
"J6","USB_B_Micro","MICRO-USB-SMD_MICROXNJ",104.220837,-78.613000,-90.000000,top
"J7","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",104.912886,-96.369187,0.000000,top
"J8","Conn_01x24_Pin","PinHeader_1x24_P2.54mm_Vertical",116.052886,-108.519187,90.000000,top
"J9","Conn_01x24_Pin","PinHeader_1x24_P2.54mm_Vertical",116.052886,-133.731000,90.000000,top
"Q1","FS8205A","TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL-2",159.882937,-67.729149,-90.000000,top
"R1","10k","R_1206_3216Metric",126.312886,-123.571687,-90.000000,top
"R2","1K","R0402",126.980092,-66.326761,-90.000000,top
"R3","10K","R_1206_3216Metric",130.982886,-67.816687,-90.000000,top
"R4","1K","R0402",150.982886,-66.779187,90.000000,top
"R5","100","C1206",162.433000,-80.137000,90.000000,top
"R6","10k","R_1206_3216Metric",140.312886,-88.109187,-90.000000,top
"R7","10k","R_1206_3216Metric",148.312886,-88.109187,-90.000000,top
"R8","10k","R_1206_3216Metric",155.312886,-88.109187,-90.000000,top
"R9","10k","R_1206_3216Metric",175.632500,-103.380000,0.000000,top
"R10","LDR07","R_LDR_5.1x4.3mm_P3.4mm_Vertical",183.912886,-97.109187,0.000000,top
"R12","1k","R0402",184.852817,-86.970000,0.000000,top
"R13","1k","R0402",116.922817,-72.860000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm",110.112886,-118.209187,-90.000000,top
"U4","M24C16-RMN6TP","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL",186.020000,-119.510000,-90.000000,top
"UVL_PRO","DW01A-G","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",158.212937,-80.059149,180.000000,top
"VOLT-DIV","HT75xx-1-SOT89","SOT-89-3",185.175386,-83.109187,0.000000,top
