Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,18650_Holder_SMD,151.912886,-50.634187,0.0,top
C1,1uF,C_0402_1005Metric,179.46,-80.27,180.0,top
C2,1uF,C_0402_1005Metric,180.175386,-88.589187,-90.0,top
C3,4.7uF,C0805,144.88,-71.59,-90.0,top
C4,10uF,C_0402_1005Metric,140.335,-70.231,180.0,top
C5,100n,C1206,162.433,-74.422,90.0,top
C6,0.1uF,C1206,168.529,-92.133417,-90.0,top
C7,100nF,C1206,128.524,-92.329,-90.0,top
C8,10nF,C1206,187.222583,-115.19,180.0,top
D1,LED,LED_D3.0mm,136.847886,-76.909187,0.0,top
D3,LED,LED_D3.0mm,185.62,-90.05,180.0,top
D4,LED,LED_D3.0mm,118.885,-75.94,180.0,top
IC1,DW01A-G,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,158.212937,-79.945103,180.0,top
IC2,"LM75AD,118",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,163.30291,-97.002627,-90.0,top
J1,Conn_01x24_Socket,PinSocket_1x24_P2.54mm_Vertical,145.28,-129.035,90.0,top
J3,Conn_01x24_Socket,PinSocket_1x24_P2.54mm_Vertical,145.252886,-113.624187,90.0,top
J4,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,186.812886,-69.844187,0.0,top
J5,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,179.812886,-69.844187,0.0,top
J6,USB_B_Micro,MICRO-USB-SMD_MICROXNJ,103.378,-78.613,-90.0,top
J7,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,104.912886,-97.644187,0.0,top
J8,Conn_01x24_Pin,PinHeader_1x24_P2.54mm_Vertical,145.252886,-108.519187,90.0,top
J9,Conn_01x24_Pin,PinHeader_1x24_P2.54mm_Vertical,145.252886,-133.731,90.0,top
J10,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,175.91,-91.285,180.0,top
J11,Conn_01x09_Pin,PinHeader_1x09_P2.54mm_Vertical,195.72,-91.77,0.0,top
Q1,FS8205A,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL-2,159.882937,-67.524595,-90.0,top
R1,10k,R0805,126.312886,-123.571687,-90.0,top
R2,1K,R0805,126.980092,-66.326761,-90.0,top
R3,10K,R0805,130.982886,-67.816687,-90.0,top
R4,1K,R0805,150.982886,-66.779187,90.0,top
R5,100,R0805,162.433,-80.137,90.0,top
R6,10k,R0805,140.312886,-88.109187,-90.0,top
R7,10k,R0805,148.312886,-88.109187,-90.0,top
R8,10k,R0805,155.312886,-88.109187,-90.0,top
R9,10k,R0805,174.96,-98.99,0.0,top
R10,LDR07,R_LDR_5.1x4.3mm_P3.4mm_Vertical,185.612886,-97.109187,0.0,top
R12,1k,R0805,184.21,-86.95,0.0,top
R13,1k,R0805,116.922817,-72.86,0.0,top
SW1,SW_Push,SW_PUSH_6mm,107.862886,-121.459187,-90.0,top
U1,MCP1700x-330xxTT,SOT-23,184.11,-83.45,0.0,top
U2,MCP73831-2-OT,SOT-23-5,142.120386,-67.729187,0.0,top
U3,CH340C,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,121.58788,-94.971678,-90.0,top
U4,M24C16-RMN6TP,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,186.010024,-119.40344,-90.0,top
